,職務名稱:,公司名稱:,招募人數:,職務類別:,職務等級:,工作地點:,薪資範圍:,工作年資:,管理責任:,工作說明:,網站連結:
0,IT Data Engineer,TSMC 台積電,1,Full-time,Entry level,"Hsinchu, North District, Hsinchu City, Taiwan・Taiwan",40K+ TWD / month,No requirement for relevant working experience,No management responsibility,"Established in 1987 and headquartered in Taiwan, TSMC pioneered the pure-play foundry business model with an exclusive focus on manufacturing its customers’ products. As of 2024, TSMC serves more than 500 customers and manufactures over 11,000 products for high-performance computing, smartphones, the Internet of Things (IoT), automotive, and digital consumer electronics. It is the world’s largest provider of logic ICs, with an annual capacity of 16 million 12-inch equivalent wafers. TSMC operates fabs in Taiwan as well as manufacturing subsidiaries in Washington State, Japan and China, and the Company began construction on a specialty technology fab in Dresden, Germany, in 2024. In Arizona, TSMC is building three fabs, with the first starting 4nm production in 2025, the second by 2028, and the third by the end of the decade.
Are you a creative IT professional with strong technical aptitude who embraces changes and is passionate about data and information? We invite you to join our highly innovative data engineering team which is constantly designing, developing, and delivering high quality solutions for our customers. As a data engineer, you will have opportunities to work in a dynamic and fast-paced environment to collaborate with business functions to design solutions. You will translate business requirements into technical needs, connect and automate data pipelines, and deliver data architecture and data governance solutions.
  Responsibility:
Perform IT system architecture design, new technology research, and provide recommendation.Design and implement optimal data pipeline architecture (considered high data volume, data governance, etc.).Work with PRODUCT/BIZ teams to assist with new data platform re-engineering or data-related technical issues.DataOps high availability NoSQL DB (e.g.: Cassandra, S3/MinIO, MariaDB, etc.) on K8s environment.",www.cake.me//companies/tsmc/jobs/data-engineer-02c7e9
1,數據工程師實習生 Data Engineer Intern,COMMEET＿擁樂數據服務股份有限公司,1,Internship,Entry level,"Songshan District, Taipei City, Taiwan 105・Taipei City, Taiwan",200 ~ 250 TWD / hour,No requirement for relevant working experience,No management responsibility,COMMEET (https://commeet.co) 擴大徵才，歡迎有熱情之新夥伴加入我們的行列[工作內容]1 整理、標記數據，以確保數據的準確性與可靠性。 2 訓練OCR模型，並進行模型效能評估。3 建立/維護/優化資料處理流程與架構(data pipeline)。4 從業人員恪守客戶個資保護敏感度及尊重客戶資料隱密性。5 其它主管交辦事項。,www.cake.me//companies/commeet/jobs/data-assistant-engineerdata-science-intern
2,資料工程師,上洋股份有限公司,1,Full-time,Assistant,"Wugu District, New Taipei, Taiwan",50K+ TWD / month,2 years of experience required,No management responsibility,"數據驅動決策與營運最佳化是上洋邁向智慧營運的重要一步。我們正在尋找一位對資料工程具備熱情與專業的資料工程師（Data Engineer）。 此角色需主動與資料分析、軟體開發、產品與營運等部門合作，設計與維運可靠的資料流程與平台，確保資料正確、安全、即時，協助公司從資料中創造價值，推動數位轉型與業務洞察。 身為資料工程師，你/妳將會執行以下內容： 







設計、建置與維護資料處理流程（ETL/ELT），整合內外部與異質、結構化、非結構化資料來源（如 RDB、logs、API 回傳、第三方數據）。架構與管理資料倉儲與資料湖，確保資料可追蹤、可擴展與高效能。協助資料分析團隊取得所需資料，建立並維護標準化資料模型與資料目錄。實作資料清理與驗證機制，監控資料異常、延遲與品質偏差。持續評估並導入新工具、新技術（如自動化資料管道、容器化部署），提升資料處理流程的自動化與穩定性。 撰寫與維護資料處理程式（以 Python 為主）利用視覺化工具（如 Superset、Metabase）打造即時儀表板，協助團隊快速洞察關鍵指標。 快速理解並分類商用需求，將業務需求轉化為具體的資料解決方案。 與資料科學家、分析師密切協作，若具備機器學習 Pipeline 或模型部署經驗更佳。",www.cake.me//companies/upyoung/jobs/data-engineer-95e
3,[Bosch R&D - Internship] Data Engineer Intern,Bosch Vietnam,5,Full-time,Internship,"Ho Chi Minh City, Vietnam",No requirement for relevant working experience,No management responsibility,,"Company Description
Bosch first started in Vietnam with a representative office in 1994. Bosch has its main office in Ho Chi Minh City, with branch offices in Hanoi and Da Nang, and a Powertrain Solutions plant in the Dong Nai province to manufacture pushbelt for continuously variable transmissions (CVT) in automobiles. In addition, Bosch operates a software and engineering RD center (Robert Bosch Engineering and Business Solutions Vietnam Co., Ltd).
In July 2014, Bosch set up a new Automotive RD Center, located in Ho Chi Minh City. The continuous growth of this Centre is in line with Bosch’s strategy in Vietnam, which aims at becoming a manufacturing and RD hub in the Southeast Asian region. Currently four products are available: connectors, pushbelt, fuel supply, and diagnosis module (tank leakage).
For further information, please visit our website: www.bosch.com.vn
Job Description








Designing and implementing data pipelines from multiple sources using Azure Databricks or Hadoop ecosystemDeveloping scalable and re-usable frameworks for ingesting of data setsIntegrating end to end data pipeline - to take data from source systems to target data repositories ensuring quality and consistency of data is maintained at all timesWorking with event based / streaming / scheduling technologies to ingest and process dataWrite python script to process data according to the needs from other engineersBuild dashboard using PowerBI or Tableau to fulfill the need from end usersEvaluating the performance and applicability of multiple tools for the automated data pipelineInvolve in application development using low-code platforms such as PowerApps and Outsystems.Involve in AI solution development in the organization focus on building python script for data processing",www.cake.me//companies/bosch-vietnam-bd2881/jobs/bosch-r-d-internship-data-engineer-intern-b9e
4,【國泰集團】數據工程師 Data Engineer,國泰健康管理顧問股份有限公司,1,Full-time,Entry level,"Daan District, Taipei City, Taiwan",800K ~ 1M TWD / year,3 years of experience required,No management responsibility,"【About Us】
歡迎加入「國泰健康管理」！我們是一個充滿活力、追求創新、以數據和科技驅動健康管理變革的團隊！在這裡，你將與一群熱愛科技、關心健康、充滿創造力的夥伴並肩作戰，共同探索智能健康的無限可能。
我們相信「想要健康不能靠感覺」，而是基於精準數據的科學管理。
我們的使命是：整合數位、數據和 IT 技術，打造個人化的健康管理解決方案，讓人人都能擁有健康自信的人生，實踐『健康就在生活裡，解方就在數據裡』
【We Need You to …】
1.應用服務開發與維護
• 開發與維護數據應用服務（API），確保業務服務穩定運行。
• 開發與維護 ETL Pipeline，以支援數據轉換與應用。
2.自動化與運維
• 建立與管理 CI/CD Pipeline，提升開發與部署效率。
• 持續監控服務效能，進行問題排查、升級與最佳化。
【About You】
• 熟悉基礎 Python 程式語言，能開發應用服務或數據流程。
• 熟悉資料處理流程，能設計並維護 ETL Pipeline（Airflow）。
• 了解容器化技術（Docker、Kubernetes）。
• 了解 CI/CD 與自動化運維經驗（Azure DevOps 或 GitLab）。
【Plus】
• 具備 AWS 服務（EC2、S3、RDS、Lambda、IAM 等）建置與維運經驗。
• 具備 Terraform 或其他 IaC 工具經驗。
• 具備 DevOps / Cloud Engineer 相關工作經驗。
• 具備網路/資訊安全管理經驗。
• 具備解決問題、除錯及故障排除能力，能提出解決方案。",www.cake.me//companies/cathay-hcm/jobs/cathay-pacific-groupdata-engineer
5,Python 工程師  – 資料科學/AI 應用方向 【Munger AI Team】,Stark Tech 鷹翔有限公司,3,Full-time,Mid-Senior level,"Songshan District, Taipei City, Taiwan",850K ~ 1.2M TWD / year,3 years of experience required,No management responsibility,"【關於我們 - Data Munger AI】
Data Munger 致力成為企業與實用 AI 解決方案間的最佳夥伴，從導入一路陪伴到落地。 在人人喊AI的時代下，真正為企業打造一個會持續進化的「AI 大腦」讓決策更快、流程更簡，讓人力價值最大化。
官網： https://datamunger.io/

💼 工作職責
資料處理管道設計與開發
 使用 Python 與 BigQuery SQL 為 AI 應用設計、開發及維護資料處理流程，確保機器學習模型可獲取高品質資料。ETL/ELT 工作流程構建
 建立並優化 ETL/ELT 流程，確保資料自動化處理與數據一致性。RAG 系統實作
 應用 RAG（檢索增強生成）技術，提升 AI 互動的準確性與上下文相關性。向量資料庫與查詢優化
 優化向量資料庫（如 Pinecone、Qdrant）及 SQL/BigQuery 查詢效能，提升 AI 搜尋與回應速度。API 建構與維護
 使用 Python 框架（FastAPI、Flask）建立並維護資料處理與 AI 服務 API。機器學習模型與資料管道部署
 在雲端基礎架構（主要以 GCP 為主，並整合部分 AWS）上部署 ML 模型與資料管道，實踐 MLOps 原則以確保部署具備可重現性、擴展性及監控能力。跨部門協作與技術創新
 與資料科學家、AI 研究人員及前端團隊協作，共同打造端對端 AI 產品，並持續導入最新技術以優化解決方案。",www.cake.me//companies/StarkTech/jobs/python-engineer-data-science-ai-applications
6,數據工程師 Data Science Engineer,COMMEET＿擁樂數據服務股份有限公司,1,Full-time,Assistant,"Songshan District, Taipei City, Taiwan",Negotiable,No requirement for relevant working experience,No management responsibility,COMMEET (https://commeet.co) 擴大徵才，歡迎有熱情之新夥伴加入我們的行列[工作內容]1 整理、標記數據，以確保數據的準確性與可靠性2 建立/維護/優化資料處理流程與架構(data pipeline)3 跟相關的stakeholder合作，解決並優化他們的數據需求4 其它主管交辦事項。,www.cake.me//companies/commeet/jobs/data-science-engineer-e05
7,資料工程師,群健科技股份有限公司Cofit Healthcare Inc.,2,Full-time,Mid-Senior level,"Taipei City, Taiwan",70K ~ 100K TWD / month,4 years of experience required,No management responsibility,"★ 關於 Cofit
Hi，我們是 Cofit，正在打造一個橫跨台灣、美加、新加坡、香港、大陸和東南亞的跨境健康平台，把台灣優秀的醫療和服務輸出，幫助世界各地華人輕鬆減肥、健身、遠離三高！熱情邀請對網路、健康美食有興趣的夥伴加入我們，一起參與團隊的成長和壯大！在這裡你將得到最大的授權、盡情發揮！絕對自由的工作環境、創業精神的實踐、還能獲得終生受用的健康知識。★ 職位說明Mid-Level Data Engineer主要負責建置與維護穩定的資料流程與模型，確保資料正確與即時，以支援分析需求與營運決策。Senior Data Engineer主要負責資料架構與流程的設計與優化，確保系統可擴充性與資料品質的穩定，並推動跨部門的資料整合與協作。★ 工作內容1. 資料架構規劃- 設計資料倉儲架構，規範命名與欄位定義。- 協助建立跨部門共用的資料模型與指標層（semantic layer）。- 與 DevOps 協作規劃部署環境、權限與自動化流程（CI/CD）。2. 資料流建置與維運- 使用 Airflow / dbt / Python 建立、監控 ETL pipeline。- 整合臨床、營養、CRM、GA4 等多來源資料，確保時效與正確性。- 建立 logging 與自動錯誤通知機制，提升資料流可靠度。3. 資料品質與監控- 制定資料驗證規則、實作異常監測與排錯流程。- 定期檢查 pipeline 效能與資源使用，提出優化建議。4. 分析層支援與跨部門協作- 與 Data Analyst 協作，將分析需求轉化為結構化資料表與維度模型。- 主動提出資料結構或流程優化建議，提升整體分析效率。- 維護報表工具的資料來源層（data mart / view）。★ 文化與價值觀- 享受新創團隊充滿挑戰的生活。- 能接受新鮮事物，與各領域人才交流學習。- 面對問題能快速分析，找出問題點與解決方案。- 重視細節，對於自己交付出的成果負責且自豪。- 主動溝通，就事論事，有自己的想法但不固執。- 重視自我能力精進，經常思考「還有更好的解決方式嗎？」",www.cake.me//companies/cofit-healthcare-inc/jobs/data-engineer-a38a96
8,Data Engineer / 資料工程師,SWAG,1,Full-time,Mid-Senior level,"Taipei City, Taiwan",Negotiable,3 years of experience required,No management responsibility,"DescriptionAt SWAG Live, data is the backbone of how we innovate and grow. With our BI system established, the data team is now focused on building the next generation of platforms that power recommendation systems, AI agents, AI pipelines, and campaign-facing services—as well as external-facing data services that enhance our products.
We are seeking a Data Engineer who will design and operate the infrastructure that makes these AI-driven initiatives possible. Your work will center on building cost-efficient, reliable, and maintainable systems that deliver measurable business value. You’ll collaborate closely with data scientists and product teams to turn models into production-ready services, enabling personalization, campaign optimization, and intelligent product features.
This is a role for engineers who want to shape the future of applied AI while keeping efficiency at the core.
Responsibilities
Build and maintain cost-efficient data pipelines and warehouses that power analytical tool, recommendation systems, AI agents, and campaign-facing services.Develop data services that integrate with external products, ensuring reliability, maintainability, and clear SLAs.Optimize queries, schemas, and storage to maximize performance and minimize cost across transactional and analytical workloads.Implement and operate event-driven streaming architectures for real-time personalization and campaign insights.Collaborate with data scientists and product teams to move AI models from experimentation to production.Create internal tools and frameworks that accelerate the productivity of analysts, scientists, and engineers.Ensure data quality, governance, and observability across pipelines and services.",www.cake.me//companies/swag/jobs/data-team-engineer
9,【風控資料工程師】Data Engineer(Risk Analytics),智鈦星平台服務有限公司,1,Full-time,Entry level,"Taipei City, Taiwan",60K ~ 120K TWD / month,2 years of experience required,No management responsibility,"身為風控數據工程師，你將負責設計、建置與維運公司的數據基礎設施（Data Platform），確保數據在收集、處理與存取過程中的穩定性、正確性與高效性。
你將與風控團隊緊密合作，透過數據工程與自動化技術，將龐雜的數據轉化為具決策價值的洞察，支持公司在風險管理與策略決策上的持續成長。
【主要職責】
1. 數據管線開發與維運
  - 設計、開發並維護 ETL/ELT 流程，整合內外部異質數據來源，確保數據高品質與穩定性
  - 建立與維護數據模型（Data Modeling），確保架構具可擴展性並符合業務需求
  - 建置監控與告警機制（Alerting  Monitoring），即時偵測異常並優化資料流程
2. 數據產品與分析支援
  - 與風控、業務及數據分析團隊合作，理解需求並提供適用的數據解決方案
  - 設計並開發自動化分析報表與 Dashboard，支援風控監測、產品分析及策略決策
3. 數據平台建置與管理
  - 維運與優化數據平台（Data Platform），確保高可用性、可擴展性與安全性
  - 管理與調校數據計算資源（如 Spark、Presto），提升效能與資源使用效率
  - 建立數據治理（Data Governance）機制，確保資料品質、安全與合規
4. 系統監控與效能優化
  - 監控並分析數據系統效能，持續進行架構優化與資源配置調整
  - 優化查詢與處理效率，提升系統反應速度與可靠性
  - 針對異常數據或流程問題，提供修復與長期優化方案",www.cake.me//companies/gtstw/jobs/data-professional
